,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
148,932,2022050321,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0613,pH,0.0778,NTU
149,931,2022050321,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5318,mg/L,7.0833,pH,0.0430,NTU
150,930,2022050321,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8278,mg/L,7.4845,pH,0.0506,NTU
151,929,2022050321,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8538,mg/L,7.4128,pH,0.0442,NTU
152,928,2022050321,반월정수장,4127112311,경기도 안산시 상록구,생활정수,1.0249,mg/L,7.4246,pH,0.0531,NTU
153,927,2022050321,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.5519,mg/L,7.0429,pH,0.3110,NTU
154,926,2022050321,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.7646,mg/L,7.4568,pH,0.0501,NTU
155,925,2022050321,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5623,pH,0.1824,NTU
156,924,2022050321,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8306,mg/L,7.2467,pH,0.0731,NTU
157,923,2022050321,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7062,mg/L,7.1089,pH,0.0670,NTU
158,922,2022050321,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8521,mg/L,7.7071,pH,0.0532,NTU
159,921,2022050321,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8659,mg/L,6.7994,pH,0.0300,NTU
160,920,2022050321,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8191,mg/L,7.1873,pH,0.0544,NTU
161,919,2022050321,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.9357,mg/L,7.2305,pH,0.0371,NTU
162,918,2022050321,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0285,mg/L,7.4155,pH,0.5150,NTU
163,917,2022050321,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.5018,pH,0.1660,NTU
